guid,species,state_prov,county,parts,sex,dec_lat,dec_long,has_tissues
MVZ:Mamm:71337,Myotis yumanensis,California,San Diego County,"skin, study; skull",female,33.064,-117.1289,0
MVZ:Mamm:71335,Myotis yumanensis,California,San Diego County,"skin, study; skull",female,33.064,-117.1289,0
MVZ:Mamm:71341,Myotis yumanensis,California,San Diego County,"skin, study; skull",female,33.064,-117.1289,0
MVZ:Mamm:182397,Lasiurus frantzii,California,San Mateo County,whole organism (ethanol),male,37.560018,-122.411051,0
MVZ:Mamm:238729,Eptesicus fuscus,California,San Diego County,"tissue (frozen); whole organism (ethanol, 70%; formalin-fixed)",female,33.098806,-116.996073,1
MVZ:Mamm:181630,Antrozous pallidus,California,Riverside County,whole organism (ethanol),unknown,33.9198647,-116.7611758,0
MVZ:Mamm:101096,Eptesicus fuscus,California,Shasta County,whole organism (ethanol),unknown,40.7824751,-122.0485191,0
MVZ:Mamm:101094,Eptesicus fuscus,California,Shasta County,whole organism (ethanol),unknown,40.7824751,-122.0485191,0
MVZ:Mamm:14658,Tadarida brasiliensis,California,Merced County,"skin, study; skull",male,37.060514,-120.84778,0
MVZ:Mamm:14662,Tadarida brasiliensis,California,Merced County,"skin, study; skull",male,37.060514,-120.84778,0
MVZ:Mamm:71713,Tadarida brasiliensis,California,Fresno County,"skin, study; skull",female,36.6176,-120.6788,0
MVZ:Mamm:238870,Myotis californicus,California,Riverside County,"tissue (frozen); whole organism (ethanol, 70%; formalin-fixed)",female,33.579777,-117.199338,1
MVZ:Mamm:69077,Myotis yumanensis,California,Del Norte County,"skin, study; skull",female,41.9955479,-123.625462,0
MVZ:Mamm:239049,Myotis yumanensis,California,Riverside County,"tissue (frozen); whole organism (ethanol, 70%; formalin-fixed)",male,33.8991773,-117.204108,1
MVZ:Mamm:229881,Myotis californicus,California,Alameda County,"tissue (frozen); whole organism (ethanol, 70%)",male,,,1
MVZ:Mamm:32821,Myotis ciliolabrum,California,San Diego County,"skin, study; skull",female,32.97,-116.3599,0
MVZ:Mamm:101093,Lasionycteris noctivagans,California,Shasta County,whole organism (ethanol),unknown,40.7824751,-122.0485191,0
MVZ:Mamm:239358,Tadarida brasiliensis,California,Ventura County,"tissue (frozen); whole organism (ethanol, 70%; formalin-fixed)",,34.216394,-119.033139,1
MVZ:Mamm:238644,Eptesicus fuscus,California,Los Angeles County,"tissue (frozen); whole organism (ethanol, 70%; formalin-fixed)",male,34.1460223,-118.7694248,1
MVZ:Mamm:238649,Eptesicus fuscus,California,Los Angeles County,"tissue (frozen); whole organism (ethanol, 70%; formalin-fixed)",female,34.7035579,-118.2230379,2
MVZ:Mamm:118574,Myotis yumanensis,California,El Dorado County,"skin, study; skull",female,39.03904,-120.12285,0
MVZ:Mamm:24312,Tadarida brasiliensis,California,El Dorado County,whole organism (ethanol),female,38.9072,-121.0151,0
MVZ:Mamm:24314,Tadarida brasiliensis,California,El Dorado County,"whole organism (ethanol, 70%)",female,38.9072,-121.0151,0
MVZ:Mamm:239097,Myotis yumanensis,California,San Bernardino County,"tissue (frozen); whole organism (ethanol, 70%; formalin-fixed)",male,34.257179,-117.192067,1
MVZ:Mamm:110742,Nyctinomops femorosaccus,Baja California Sur,,whole organism (ethanol),male,23.140278,-109.6941667,0
MVZ:Mamm:108022,Eptesicus fuscus,California,Santa Cruz County,"skin, study; skull",male,37.1405,-122.0908333,0
MVZ:Mamm:66532,Tadarida brasiliensis,California,Tehama County,whole organism (ethanol),unknown,40.3188206,-121.9607921,0
MVZ:Mamm:239323,Tadarida brasiliensis,California,Riverside County,"tissue (frozen); whole organism (ethanol, 70%; formalin-fixed)",female,33.968527,-116.545623,1
MVZ:Mamm:151051,Antrozous pallidus,California,Sonoma County,whole organism (ethanol),male,38.77737,-122.97153,0
MVZ:Mamm:71427,Myotis californicus,California,Mariposa County,"skin, study; skull",female,37.75634,-120.11166,0
MVZ:Mamm:112018,Lasiurus cinereus,California,Santa Cruz County,"skin, study; skull",female,36.9746516,-122.0068146,0
MVZ:Mamm:71375,Myotis volans,California,Los Angeles County,"skin, study; skull",female,34.162245,-117.998469,0
MVZ:Mamm:182499,Lasiurus frantzii,California,Santa Clara County,skeleton; skull,male,37.310993,-121.86749,0
MVZ:Mamm:16323,Eptesicus fuscus,California,Tulare County,"skin, study; skull",male,35.96474,-118.22413,0
MVZ:Mamm:16324,Eptesicus fuscus,California,Tulare County,"skin, study; skull",male,35.96474,-118.22413,0
MVZ:Mamm:96909,Myotis thysanodes,California,Napa County,"skin, study; skull",female,38.5660316,-122.4582345,0
MVZ:Mamm:106190,Tadarida brasiliensis,California,Napa County,"skin, study; skull",female,38.4016884,-122.359598,0
MVZ:Mamm:121830,Eptesicus fuscus,California,Lake County,"skin, study; skull",female,38.9441484,-122.6686605,0
MVZ:Mamm:183209,Lasiurus frantzii,California,Stanislaus County,whole organism (ethanol),male,37.609345,-121.226692,0
MVZ:Mamm:29263,Tadarida brasiliensis,California,Monterey County,"skeleton; skin, study; skull",male,36.60922,-121.835607,0
MVZ:Mamm:106650,Tadarida brasiliensis,California,Amador County,"skin, study; skull",female,38.480638,-120.945427,0
MVZ:Mamm:238816,Myotis californicus,California,San Bernardino County,"tissue (frozen); whole organism (ethanol, 70%; formalin-fixed)",,34.841438,-116.046625,1
MVZ:Mamm:181627,Antrozous pallidus,California,Riverside County,whole organism (ethanol),unknown,33.9198647,-116.7611758,0
MVZ:Mamm:181632,Antrozous pallidus,California,Riverside County,whole organism (ethanol),unknown,33.9198647,-116.7611758,0
MVZ:Mamm:181629,Antrozous pallidus,California,Riverside County,whole organism (ethanol),unknown,33.9198647,-116.7611758,0
MVZ:Mamm:225469,Myotis evotis,California,San Francisco County,"whole organism (ethanol, 70%; formalin-fixed)",female,37.752522,-122.446438,0
MVZ:Mamm:24221,Eptesicus fuscus,California,El Dorado County,"skin, study; skull",female,38.7505245,-120.6217628,0
MVZ:Mamm:24219,Eptesicus fuscus,California,El Dorado County,"skin, study; skull",female,38.7505245,-120.6217628,0
MVZ:Mamm:119486,Myotis lucifugus,California,Lake County,"skin, study; skull",male,38.9992745,-122.694834,0
MVZ:Mamm:101954,Tadarida brasiliensis,California,Stanislaus County,"skin, study; skull",female,37.588788,-121.239792,0
MVZ:Mamm:66578,Myotis yumanensis,California,Tehama County,whole organism (ethanol),unknown,40.3188206,-121.9607921,0
MVZ:Mamm:66574,Myotis yumanensis,California,Tehama County,whole organism (ethanol),unknown,40.3188206,-121.9607921,0
MVZ:Mamm:66569,Myotis yumanensis,California,Tehama County,whole organism (ethanol),unknown,40.3188206,-121.9607921,0
MVZ:Mamm:66553,Myotis yumanensis,California,Tehama County,whole organism (ethanol),unknown,40.3188206,-121.9607921,0
MVZ:Mamm:66571,Myotis yumanensis,California,Tehama County,whole organism (ethanol),unknown,40.3188206,-121.9607921,0
MVZ:Mamm:66554,Myotis yumanensis,California,Tehama County,whole organism (ethanol),unknown,40.3188206,-121.9607921,0
MVZ:Mamm:66573,Myotis yumanensis,California,Tehama County,whole organism (ethanol),unknown,40.3188206,-121.9607921,0
MVZ:Mamm:66575,Myotis yumanensis,California,Tehama County,whole organism (ethanol),unknown,40.3188206,-121.9607921,0
MVZ:Mamm:66558,Myotis yumanensis,California,Tehama County,whole organism (ethanol),unknown,40.3188206,-121.9607921,0
MVZ:Mamm:66577,Myotis yumanensis,California,Tehama County,whole organism (ethanol),unknown,40.3188206,-121.9607921,0
MVZ:Mamm:66560,Myotis yumanensis,California,Tehama County,whole organism (ethanol),unknown,40.3188206,-121.9607921,0
MVZ:Mamm:66556,Myotis yumanensis,California,Tehama County,whole organism (ethanol),unknown,40.3188206,-121.9607921,0
MVZ:Mamm:66540,Eptesicus fuscus,California,Tehama County,whole organism (ethanol),unknown,40.3188206,-121.9607921,0
MVZ:Mamm:66570,Myotis yumanensis,California,Tehama County,whole organism (ethanol),unknown,40.3188206,-121.9607921,0
MVZ:Mamm:239109,Myotis yumanensis,California,San Bernardino County,"tissue (frozen); whole organism (ethanol, 70%; formalin-fixed)",female,34.266509,-116.839194,1
MVZ:Mamm:109807,Myotis californicus,California,Santa Barbara County,"skin, study; skull",male,34.0195873,-119.6859402,0
MVZ:Mamm:109809,Myotis californicus,California,Santa Barbara County,"skin, study; skull",male,34.0195873,-119.6859402,0
MVZ:Mamm:109810,Myotis californicus,California,Santa Barbara County,"skin, study; skull",male,34.0195873,-119.6859402,0
MVZ:Mamm:109811,Myotis californicus,California,Santa Barbara County,"skin, study; skull",female,34.0195873,-119.6859402,0
MVZ:Mamm:109806,Myotis californicus,California,Santa Barbara County,"skin, study; skull",male,34.0195873,-119.6859402,0
MVZ:Mamm:109817,Myotis californicus,California,Santa Barbara County,"skin, study; skull",male,34.0195873,-119.6859402,0
MVZ:Mamm:66576,Myotis yumanensis,California,Tehama County,whole organism (ethanol),unknown,40.3188206,-121.9607921,0
MVZ:Mamm:238646,Eptesicus fuscus,California,Los Angeles County,"tissue (frozen); whole organism (ethanol, 70%; formalin-fixed)",female,34.483322,-118.607335,1
MVZ:Mamm:225395,Myotis californicus,California,Butte County,"tissue (frozen); whole organism (ethanol, 70%; formalin-fixed)",male,39.7285,-121.8373333,1
MVZ:Mamm:134281,Myotis yumanensis,California,Colusa County,"skin, study; skull",female,39.0387891,-122.4196567,0
MVZ:Mamm:225350,Eptesicus fuscus,California,Butte County,"tissue (frozen); whole organism (ethanol, 70%; formalin-fixed)",male,39.6447026,-121.4022536,1
MVZ:Mamm:71342,Myotis yumanensis,California,San Diego County,"skin, study; skull",female,33.064,-117.1289,0
MVZ:Mamm:66564,Myotis yumanensis,California,Tehama County,whole organism (ethanol),unknown,40.3188206,-121.9607921,0
MVZ:Mamm:238704,Eptesicus fuscus,California,Imperial County,"tissue (frozen); whole organism (ethanol, 70%; formalin-fixed)",male,33.0113694,-115.4733554,1
MVZ:Mamm:109808,Myotis californicus,California,Santa Barbara County,"skin, study; skull",male,34.0195873,-119.6859402,0
MVZ:Mamm:109812,Myotis californicus,California,Santa Barbara County,"skin, study; skull",male,34.0195873,-119.6859402,0
MVZ:Mamm:2246,Eptesicus fuscus,California,Riverside County,"skin, study; skull",male,33.6668392,-116.6930155,0
MVZ:Mamm:238824,Myotis californicus,California,San Bernardino County,"tissue (frozen); whole organism (ethanol, 70%; formalin-fixed)",,34.841438,-116.046625,1
MVZ:Mamm:38195,Myotis yumanensis,Baja California Sur,,"skin, study; skull",male,27.3,-112.9,0
MVZ:Mamm:239012,Myotis yumanensis,California,San Bernardino County,"tissue (frozen); whole organism (ethanol, 70%; formalin-fixed)",,34.841438,-116.046625,1
MVZ:Mamm:238886,Myotis californicus,California,San Bernardino County,"tissue (frozen); whole organism (ethanol, 70%; formalin-fixed)",male,34.04833,-117.26028,1
MVZ:Mamm:238909,Myotis californicus,California,San Bernardino County,"tissue (frozen); whole organism (ethanol, 70%; formalin-fixed)",female,34.257179,-117.192067,1
MVZ:Mamm:109856,Antrozous pallidus,California,Santa Barbara County,"skin, study; skull",unknown,33.9955568,-119.714089,0
MVZ:Mamm:114779,Myotis californicus,California,San Diego County,"skin, study; skull",male,32.906406,-116.584206,0
MVZ:Mamm:182392,Lasiurus frantzii,California,Orange County,whole organism (ethanol),male,33.604688,-117.918433,0
MVZ:Mamm:102998,Myotis californicus,California,Monterey County,"skin, study; skull",male,36.153171,-121.665576,0
MVZ:Mamm:101095,Eptesicus fuscus,California,Shasta County,whole organism (ethanol),unknown,40.7824751,-122.0485191,0
MVZ:Mamm:36597,Myotis californicus,California,Tehama County,"skin, study; skull",female,40.42685,-121.8815222222,0
MVZ:Mamm:103682,Myotis yumanensis,California,Lake County,"skin, study; skull",female,39.0924534,-122.7945718,0
MVZ:Mamm:24315,Tadarida brasiliensis,California,El Dorado County,whole organism (ethanol),female,38.9072,-121.0151,0
MVZ:Mamm:31824,Myotis californicus,California,Mariposa County,whole organism (ethanol),female,37.75634,-120.11166,0
MVZ:Mamm:109855,Antrozous pallidus,California,Santa Barbara County,"skin, study; skull",female,33.9955568,-119.714089,0
MVZ:Mamm:109853,Antrozous pallidus,California,Santa Barbara County,"skin, study; skull",female,33.9955568,-119.714089,0
MVZ:Mamm:109854,Antrozous pallidus,California,Santa Barbara County,"skin, study; skull",male,33.9955568,-119.714089,0
MVZ:Mamm:107893,Myotis volans,California,Monterey County,"skin, study",male,36.310074,-121.567892,0
MVZ:Mamm:102121,Myotis yumanensis,California,Alameda County,"skin, study; skull",female,37.8697904,-122.2715302,0
MVZ:Mamm:108023,Eptesicus fuscus,California,Santa Cruz County,"skin, study; skull",female,37.1405,-122.0908333,0
MVZ:Mamm:71610,Lasiurus frantzii,California,Stanislaus County,"skin, study; skull",male,37.637791,-121.1989,0
MVZ:Mamm:106651,Tadarida brasiliensis,California,Amador County,"skin, study; skull",male,38.480638,-120.945427,0
MVZ:Mamm:101889,Corynorhinus townsendii,California,Napa County,"skin, study; skull",female,38.5619587,-122.5390844,0
MVZ:Mamm:25883,Eptesicus fuscus,California,Inyo County,"skin, study; skull",female,36.59499,-118.11231,0
MVZ:Mamm:182407,Lasiurus cinereus,California,Kings County,skeleton; skull,female,36.3275,-119.6447,0
MVZ:Mamm:106004,Antrozous pallidus,California,San Diego County,"skin, study; skull",male,32.643334,-117.077278,0
MVZ:Mamm:239050,Myotis yumanensis,California,Riverside County,"tissue (frozen); whole organism (ethanol, 70%; formalin-fixed)",female,33.8991773,-117.204108,1
MVZ:Mamm:119397,Myotis yumanensis,California,Alameda County,"skin, study; skull",female,37.63748,-121.90336,0
MVZ:Mamm:239293,Tadarida brasiliensis,California,Los Angeles County,"tissue (frozen); whole organism (ethanol, 70%; formalin-fixed)",male,34.139754,-118.148957,1
MVZ:Mamm:105929,Myotis californicus,California,San Diego County,"skin, study; skull",female,33.2814,-116.8038,0
MVZ:Mamm:106032,Myotis californicus,California,Lake County,"skin, study; skull",female,38.8854083,-122.5319643,0
MVZ:Mamm:239285,Tadarida brasiliensis,California,Los Angeles County,"tissue (frozen); whole organism (ethanol, 70%; formalin-fixed)",male,34.483322,-118.607335,1
MVZ:Mamm:28771,Corynorhinus townsendii,California,Imperial County,whole organism (ethanol),unknown,32.7768769,-114.5327179,0
MVZ:Mamm:25884,Eptesicus fuscus,California,Inyo County,"skin, study; skull",female,36.59499,-118.11231,0
MVZ:Mamm:25885,Eptesicus fuscus,California,Inyo County,"skin, study; skull",female,36.59499,-118.11231,0
MVZ:Mamm:25886,Eptesicus fuscus,California,Inyo County,"skin, study; skull",male,36.59499,-118.11231,0
MVZ:Mamm:35417,Myotis ciliolabrum,Baja California,,"skin, study; skull",male,30.88333,-115.45,0
MVZ:Mamm:35418,Myotis ciliolabrum,Baja California,,"skin, study; skull",male,30.88333,-115.45,0
MVZ:Mamm:23899,Lasiurus cinereus,California,Merced County,whole organism (ethanol),unknown,37.52078,-120.43822,0
MVZ:Mamm:103558,Antrozous pallidus,California,Napa County,"skin, study; skull",male,38.5619587,-122.5390844,0
MVZ:Mamm:103570,Antrozous pallidus,California,Napa County,"skin, study; skull",male,38.5619587,-122.5390844,0
MVZ:Mamm:103560,Antrozous pallidus,California,Napa County,"skin, study; skull",male,38.5619587,-122.5390844,0
MVZ:Mamm:103559,Antrozous pallidus,California,Napa County,"skin, study; skull",male,38.5619587,-122.5390844,0
MVZ:Mamm:103561,Antrozous pallidus,California,Napa County,"skin, study; skull",male,38.5619587,-122.5390844,0
MVZ:Mamm:103556,Antrozous pallidus,California,Napa County,"skin, study; skull",male,38.5619587,-122.5390844,0
MVZ:Mamm:182408,Lasiurus cinereus,California,Kings County,skeleton; skull,female,36.3275,-119.6447,0
MVZ:Mamm:66531,Tadarida brasiliensis,California,Tehama County,whole organism (ethanol),unknown,40.3188206,-121.9607921,0
MVZ:Mamm:25331,Eptesicus fuscus,California,Fresno County,whole organism (ethanol),female,36.78619,-118.91056,0
MVZ:Mamm:102062,Myotis yumanensis,California,Alameda County,"skin, study; skull",unknown,37.8697904,-122.2715302,0
MVZ:Mamm:51417,Eptesicus fuscus,California,Kern County,"skin, study; skull",male,35.1939609,-119.29954,0
MVZ:Mamm:34949,Tadarida brasiliensis,California,Tehama County,whole organism (ethanol),unknown,40.3132595,-121.9952649,0
MVZ:Mamm:34951,Tadarida brasiliensis,California,Tehama County,whole organism (ethanol),unknown,40.3132595,-121.9952649,0
MVZ:Mamm:108897,Corynorhinus townsendii,California,Monterey County,"skin, study; skull",male,35.960194,-120.421175,0
MVZ:Mamm:239105,Myotis yumanensis,California,San Bernardino County,"tissue (frozen); whole organism (ethanol, 70%; formalin-fixed)",male,34.24389,-116.91056,1
MVZ:Mamm:105360,Lasionycteris noctivagans,California,Mono County,"skin, study; skull",female,38.377051,-119.342674,0
MVZ:Mamm:113038,Myotis lucifugus,California,Humboldt County,skull,unknown,41.1604001,-124.1323646,0
MVZ:Mamm:113035,Myotis lucifugus,California,Humboldt County,"skin, study; skull",female,41.1604001,-124.1323646,0
MVZ:Mamm:28772,Myotis yumanensis,California,Imperial County,whole organism (ethanol),female,32.7768769,-114.5327179,0
MVZ:Mamm:238931,Myotis californicus,California,San Bernardino County,"tissue (frozen); whole organism (ethanol, 70%; formalin-fixed)",female,34.088624,-117.280598,1
MVZ:Mamm:119396,Myotis yumanensis,California,Alameda County,"skin, study; skull",female,37.63748,-121.90336,0
MVZ:Mamm:71368,Myotis volans,California,Mendocino County,"skin, study; skull",male,39.0177466,-123.5224333,0
MVZ:Mamm:113026,Myotis californicus,California,Humboldt County,"skin, study; skull",male,40.9809127,-123.6339428,0
MVZ:Mamm:171934,Tadarida brasiliensis,California,Marin County,skeleton; skull,female,38.0407285,-122.8053196,0
MVZ:Mamm:171933,Tadarida brasiliensis,California,Marin County,skeleton; skull,female,38.0407285,-122.8053196,0
MVZ:Mamm:171932,Myotis thysanodes,California,Marin County,skeleton; skull,female,38.0407285,-122.8053196,0
MVZ:Mamm:112366,Corynorhinus townsendii,California,Siskiyou County,"skin, study; skull",female,41.712931,-121.5098967,0
MVZ:Mamm:96908,Myotis thysanodes,California,Napa County,"skin, study; skull",female,38.5660316,-122.4582345,0
MVZ:Mamm:112898,Myotis yumanensis,California,Marin County,"skin, study; skull",female,38.0878269,-122.8403561,0
MVZ:Mamm:182441,Myotis evotis,California,Santa Clara County,skeleton; skull,male,37.129948,-121.661108,0
MVZ:Mamm:242235,Lasiurus cinereus,California,San Bernardino County,tissue (frozen); whole organism (formalin-fixed | ethanol 70%),female,34.09222,-117.43417,1
MVZ:Mamm:103679,Myotis yumanensis,California,Lake County,"skin, study; skull",female,39.0924534,-122.7945718,0
MVZ:Mamm:103664,Myotis yumanensis,California,Lake County,"skin, study; skull",male,39.0924534,-122.7945718,0
MVZ:Mamm:103672,Myotis yumanensis,California,Lake County,"skin, study; skull",male,39.0924534,-122.7945718,0
MVZ:Mamm:103655,Myotis yumanensis,California,Lake County,"skin, study; skull",male,39.0924534,-122.7945718,0
MVZ:Mamm:103656,Myotis yumanensis,California,Lake County,"skin, study; skull",male,39.0924534,-122.7945718,0
MVZ:Mamm:103667,Myotis yumanensis,California,Lake County,"skin, study; skull",male,39.0924534,-122.7945718,0
MVZ:Mamm:103686,Myotis yumanensis,California,Lake County,"skin, study; skull",female,39.0924534,-122.7945718,0
MVZ:Mamm:103654,Myotis yumanensis,California,Lake County,"skin, study; skull",male,39.0924534,-122.7945718,0
MVZ:Mamm:103680,Myotis yumanensis,California,Lake County,"skin, study; skull",female,39.0924534,-122.7945718,0
MVZ:Mamm:103683,Myotis yumanensis,California,Lake County,"skin, study; skull",female,39.0924534,-122.7945718,0
MVZ:Mamm:44194,Macrotus californicus,California,Imperial County,skeleton; skull,unknown,33.0947,-114.7378,0
MVZ:Mamm:103685,Myotis yumanensis,California,Lake County,"skin, study; skull",female,39.0924534,-122.7945718,0
MVZ:Mamm:103669,Myotis yumanensis,California,Lake County,"skin, study; skull",male,39.0924534,-122.7945718,0
MVZ:Mamm:148665,Myotis yumanensis,California,Marin County,skeleton; skull,female,38.0407285,-122.8053196,0
MVZ:Mamm:148654,Myotis yumanensis,California,Marin County,skeleton; skull,female,38.0407285,-122.8053196,0
MVZ:Mamm:5184,Eptesicus fuscus,California,San Bernardino County,"skin, study; skull",male,34.16861,-116.81556,0
MVZ:Mamm:242234,Lasiurus xanthinus,California,San Bernardino County,tissue (frozen); whole organism (formalin-fixed | ethanol 70%),male,34.500505,-117.190267,1
MVZ:Mamm:101919,Lasiurus frantzii,California,Fresno County,"skin, study; skull",female,36.8036,-120.501,0
MVZ:Mamm:5065,Eptesicus fuscus,California,San Bernardino County,"skin, study; skull",male,34.16861,-116.81556,0
MVZ:Mamm:5180,Eptesicus fuscus,California,San Bernardino County,"skin, study; skull",male,34.16861,-116.81556,0
MVZ:Mamm:22099,Antrozous pallidus,California,Merced County,"skeleton; skin, study; skull; whole organism (ethanol)",female,37.52078,-120.43822,0
MVZ:Mamm:238822,Myotis californicus,California,San Bernardino County,"tissue (frozen); whole organism (ethanol, 70%; formalin-fixed)",,34.841438,-116.046625,1
MVZ:Mamm:5191,Eptesicus fuscus,California,San Diego County,"skin, study; skull",male,33.11,-117.08,0
MVZ:Mamm:112912,Corynorhinus townsendii,California,Lake County,"skin, study; skull",female,39.0140553,-122.6479567,0
MVZ:Mamm:19283,Eumops perotis,California,Los Angeles County,whole organism (ethanol),female,34.163126,-118.0502877,0
MVZ:Mamm:71613,Lasiurus frantzii,California,Kings County,"skin, study; skull",female,36.097139,-119.57012,0
MVZ:Mamm:40996,Antrozous pallidus,California,Santa Cruz County,"skin, study",female,36.9723626,-121.9746396,0
MVZ:Mamm:102999,Myotis californicus,California,Monterey County,"skin, study; skull",male,36.153171,-121.665576,0
MVZ:Mamm:34673,Eptesicus fuscus,California,Tehama County,whole organism (cleared; stained),unknown,40.3146,-122.0695,0
MVZ:Mamm:3361,Myotis lucifugus,California,Siskiyou County,"skin, study",male,41.4091344,-122.19373,0
MVZ:Mamm:121831,Eptesicus fuscus,California,Lake County,"skin, study; skull",female,38.9441484,-122.6686605,0
MVZ:Mamm:103684,Myotis yumanensis,California,Lake County,"skin, study; skull",female,39.0924534,-122.7945718,0
MVZ:Mamm:134282,Myotis yumanensis,California,Colusa County,"skin, study; skull",female,39.0387891,-122.4196567,0
MVZ:Mamm:34477,Eptesicus fuscus,California,Tehama County,"skin, study; skull",female,40.3146,-122.0695,0
MVZ:Mamm:238693,Eptesicus fuscus,California,San Bernardino County,"tissue (frozen); whole organism (ethanol, 70%; formalin-fixed)",male,34.24389,-116.91056,1
MVZ:Mamm:181633,Antrozous pallidus,California,Riverside County,whole organism (ethanol),unknown,33.9198647,-116.7611758,0
MVZ:Mamm:14659,Tadarida brasiliensis,California,Merced County,"skin, study; skull",male,37.060514,-120.84778,0
MVZ:Mamm:103001,Myotis californicus,California,Monterey County,"skin, study; skull",female,36.153171,-121.665576,0
MVZ:Mamm:121880,Lasionycteris noctivagans,California,Del Norte County,"skin, study; skull",male,41.5870224,-123.691986,0
MVZ:Mamm:239354,Tadarida brasiliensis,California,Sutter County,"tissue (frozen); whole organism (ethanol, 70%; formalin-fixed)",female,39.1127199,-121.617508,1
MVZ:Mamm:106315,Lasiurus cinereus,California,Alameda County,whole organism (ethanol),male,37.650547,-121.917885,0
MVZ:Mamm:185209,Tadarida brasiliensis,California,Alameda County,"skin, study; skull",female,37.8671965,-122.2592477,0
MVZ:Mamm:33503,Myotis californicus,California,San Diego County,whole organism (ethanol),unknown,33.0806,-116.7139,0
MVZ:Mamm:95468,Corynorhinus townsendii,California,Napa County,"skin, study; skull",male,38.6541189,-122.3756877,0
