"index","display","obj_name","query_cost","category","description","default_order"
"70","Decimal Longitude","dec_long",1,"core","Geographic longitude expressed as degrees with decimal fractions of degrees.",730
"71","Coordinate Error (m)","coordinateuncertaintyinmeters",1,"core",NA,740
"72","Verification Status","verificationstatus",1,"record","Verification status of locality information",750
"73","datum","datum",1,"locality","Asserted datum for the coordinates assigned to a locality",760
"74","georeference protocol","georeference_protocol",1,"locality","Protocol used to obtain the values for the coordinates and the measure of precision.",770
"75","georeference source","georeference_source",1,"locality","The source of the coordinate information. Often the name of a map or gazetteer.",780
"76","individualcount","individualcount",1,"record","Number of individuals in the cataloged item",790
"77","Formatted ID","formatted_scientific_name",1,"record","Scientific name including code-specific data and markup",800
"78","Collecting Event Remarks","coll_event_remarks",1,"locality","Collecting Event Remarks documents nonstandard information concerning a collecting event.",810
"79","associated species","associated_species",1,"locality","Other species noted in association with the collected specimens. Used in botanical collections.",820
"80","JSON Locality","json_locality",1,"locality","Locality stack in JSON",850
"81","member","member",1,"locality","Locality attribute member",851
"82","formation","formation",1,"locality","Locality attribute formation",851
"83","event_count","event_count",1,"locality","Number of Events, of any type and including restricted access, attached to the record.",852
"84","Locality Count","locality_count",1,"locality","Number of Localities, of any type and including restricted access, attached to the record.",853
"85","Full Taxon Name","full_taxon_name",1,"record","Any term in a taxonomic hierarchy.",860
"86","Entered By","entered_by",1,"curatorial","Operator who entered the record",870
"87","Related Record Summary","related_record_summary",1,"record","summary data from related records",880
"88","Attribute Detail","attributedetail",1,"curatorial","All attribute data",890
"89","Last Part Location","lastpartlocation",1,"curatorial","Special handler for part attribute ""location.""",900
"90","age","age",1,"trait","General description of the age. See also age class and numeric age.",920
"91","Culture of Origin","culture_of_origin",1,"attribute","Culture of origin attribute",1220
"92","Culture of Use","culture_of_use",1,"attribute","Culture of use attribute",1230
"93","ear from notch","ear_from_notch",1,"trait","Length of the ear from the notch to the tip.",1300
"94","hind foot with claw","hind_foot_with_claw",1,"trait","Length of the hind foot from the back of the ankle to the end of the longest claw. A numeric value plus units.",1530
"95","Materials","materials",1,"attribute","Materials attribute",1680
"96","sex","sex",1,"trait","Sex of the organism.",1970
"97","tail length","tail_length",1,"trait","length of tail",2110
"98","total length","total_length",1,"trait","Total length of the specimen. Fish&#x3a;Total length &#x28;TL&#x29; is the length of a fish measured from the tip of the&#xd;&#xa;snout to tip of the longest lobe of caudal fin. Measurement done with&#xd;&#xa;caudal fin lobes compressed and measured at midline.",2170
"99","weight","weight",1,"trait","Total body or object weight",2280
"100","AF","AF",1,"identifiers","Alaska Frozen Tissue Collection, University of Alaska Museum of the North, Fairbanks, Alaska.",2450
"101","KT","KT",1,"identifiers","Kansas State Biorepository, Kansas Tissue Number.",2451
"102","collector number","collector_number",1,"identifiers","A value that refers to a person's field catalog. For this number to be applied to a specimen, the person has to be the first collector of a specimen.",3530
"103","GenBank","GenBank",1,"identifiers","GenBank DNA-sequence accession. The Nucleotide database is a collection of sequences from several sources, including GenBank, RefSeq, TPA and PDB. Genome, gene and transcript sequence data provide the foundation for biomedical research and discovery.",4020
"104","NK","NK",1,"identifiers","""New Mexico Karyotype Number,"" a frozen tissue collection number for the Museum of Southwestern Biology.",5550
"105","Organism ID","Organism_ID",1,"identifiers","Identifier representing a DWC:Organism or individual, generally one comprised of multiple catalog records (which represent DWC:Occurrences).",5800
"106","preparator number","preparator_number",1,"identifiers","A value that refers to a record in the catalog of the person listed as the first preparator of a specimen.",6030
"107","examined for","examined_for",1,"attribute","A systematic examination for the attribute value was made.",6040
"108","not examined for","not_examined_for",1,"attribute","The record was not examined for the given value.",6050
"109","detected","detected",1,"attribute","The attribute value was detected.",6060
"110","not detected","not_detected",1,"attribute","The attribute value was not detected.",6060
"111","reproductive_data","reproductive_data",1,"attribute","Record attribute value(s).",10000
"112","DOI","doi",1,"identifiers","DOI associated with the catalog record",11000
"113","Collection Preferred Identifiers","collection_preferred_identifiers",1,"identifiers","Identifiers selected by the collection for special prominence",12000
"114","public_accn_id","public_accn_id",1,"identifiers","Part of the path to any public accession information.",13000
"115","rights","rights",1,"curatorial","Terms and licenses.",14000
"116","citation data","citation_data",1,"curatorial","citations",15000
"117","media_tags","media_tags",1,"curatorial","TAGs",16000
"118","collector_agents","collector_agents",1,"curatorial","Collector-agents (not limited to role 'collector')",17000
