catalognumberint,guid,subspecies,collectors,state_prov,county,spec_locality,collectornumber,verbatim_date,parts,sex,total length,tail length,hind foot with claw,ear,ear from notch,ear from crown,unit,weight,units,reproductive data,testes L,testes W,emb count,embs L,embs R,emb CR,scars,unformatted measurements,"tag checked? (or no tag available), initial here",Day,Month,Year,catalog checked? (or no catalog available),REVIEW NEEDED
76665,MVZ:Mamm:76665,Reithrodontomys fulvescens canus,"Seth B. Benson, Margarito Delgadillo",Chihuahua,,5 mi SE Chihuahua,4447,20 May 1937,"skin, study; skull",female,154,86,18,,15,12,,10,g,no embs.,,,0,,,,,,LW,29,July,2024,,
128347,MVZ:Mamm:128347,Reithrodontomys fulvescens canus,William Z. Lidicker Jr.,Chihuahua,,"6 mi S, 2 mi E Ojo de Laguna",William Z. Lidicker Jr. 2467,4 Sep 1961,"skin, study; skull",female,189,104,19,15,,,,15,g,no emb,,,0,,,,,,LW,29,July,2024,,
123085,MVZ:Mamm:123085,Reithrodontomys fulvescens canus,Naomi I. Lidicker,Chihuahua,,7 mi WSW Cuauhtemoc,Naomi I. Lidicker 41,23 Jun 1958,"skin, study; skull",male,160,87,20,14,,,,not recorded,,test. 9x5 mm,9,5,,,,,,,LW,29,July,2024,,
123086,MVZ:Mamm:123086,Reithrodontomys fulvescens canus,William Z. Lidicker Jr.,Chihuahua,,7 mi WSW Cuauhtemoc,William Z. Lidicker Jr. 1456,23 Jun 1958,"skin, study; skull",male,172,92,19,15.5,,,,not recorded,,testes 10 mm,10,,,,,,,,LW,29,July,2024,,
123087,MVZ:Mamm:123087,Reithrodontomys fulvescens canus,William Z. Lidicker Jr.,Chihuahua,,7 mi WSW Cuauhtemoc,William Z. Lidicker Jr. 1457,23 Jun 1958,"skin, study; skull",female,178,97,19,17,,,,not recorded,,3 emb x 19 mm,,,3,,,19,,,LW,29,July,2024,,
76667,MVZ:Mamm:76667,Reithrodontomys fulvescens canus,William B. Richardson,Chihuahua,,9 mi SE San Lucas on Rio San Pedro,William B. Richardson 2236,22 May 1937,"skin, study; skull",female,154,86,19,,14,11,,11.1,,no emb,,,0,,,,,,LW,29,July,2024,,
76668,MVZ:Mamm:76668,Reithrodontomys fulvescens canus,William B. Richardson,Chihuahua,,9 mi SE San Lucas on Rio San Pedro,William B. Richardson 2237,22 May 1937,"skin, study; skull",female,150,82,18,,15,11,,11.2,,no emb,,,0,,,,,,LW,29,July,2024,,
76660,MVZ:Mamm:76660,Reithrodontomys fulvescens canus,William B. Richardson,Chihuahua,,"Canon del Potrero, 7 mi W El Sanz",William B. Richardson 2185,18 May 1937,"baculum; skin, study; skull",male,162,87,19,,15,11,,12,,not recorded,,,,,,,,,LW,29,July,2024,,
76661,MVZ:Mamm:76661,Reithrodontomys fulvescens canus,William B. Richardson,Chihuahua,,"Canon del Potrero, 7 mi W El Sanz",William B. Richardson 2186,18 May 1937,"skin, study; skull",female,173,93,20,,16,12,,10.8,g,no emb,,,0,,,,,,LW,29,July,2024,,
76662,MVZ:Mamm:76662,Reithrodontomys fulvescens canus,Seth B. Benson,Chihuahua,,"Cañon Gotera, 9 mi NW Chihuahua",Seth B. Benson 4434,19 May 1937,"baculum; skin, study; skull",male,164,92,19,,14,11,,13.3,g,not recorded,,,,,,,,,LW,29,July,2024,,
76663,MVZ:Mamm:76663,Reithrodontomys fulvescens canus,William B. Richardson,Chihuahua,,"Cañon Gotera, 9 mi NW Chihuahua",William B. Richardson 2200,19 May 1937,"baculum; skin, study; skull",male,158,88,19,,15,12,,12.3,g,not recorded,,,,,,,,,LW,29,July,2024,,
139886,MVZ:Mamm:139886,Reithrodontomys fulvescens canus,James L. Patton,Chihuahua,,"Ojo de Galeana, 3 mi SE Galeana",James L. Patton 2572,10 Aug 1970,"skin, study; skull",female,171,91,18,13,,,,11,g,lact,,,,,,,,,LW,29,July,2024,,
128344,MVZ:Mamm:128344,Reithrodontomys fulvescens canus,William Z. Lidicker Jr.,Chihuahua,,"Ojo de Laguna, 25 mi S Gallego",William Z. Lidicker Jr. 2434,2 Sep 1961,"skin, study; skull",female,157,84,19.5,13,,,,13.8,g,6 emb x 10 mm,,,6,,,10,,,LW,29,July,2024,,
128345,MVZ:Mamm:128345,Reithrodontomys fulvescens canus,William Z. Lidicker Jr.,Chihuahua,,"Ojo de Laguna, 25 mi S Gallego",William Z. Lidicker Jr. 2447,3 Sep 1961,"skin, study; skull",female,161,92,20,14,,,,10.5,g,4 emb x 6 mm,,,4,,,6,,,LW,29,July,2024,,
128349,MVZ:Mamm:128349,Reithrodontomys fulvescens canus,William Z. Lidicker Jr.,Chihuahua,,"S edge Sierra La Mojina, 24 mi W Gallego",William Z. Lidicker Jr. 2485,7 Sep 1961,"skin, study; skull",male,175,92,19.5,14,,,,17,g,testes 11 mm desc.,11,,,,,,,,LW,2,August,2024,,
76674,MVZ:Mamm:76674,Reithrodontomys fulvescens canus,William B. Richardson,Coahuila,,0.5 mi S San Antonio del Jaral,William B. Richardson 2527,13 Jun 1937,"skin, study; skull",female,184,103,20,,15,13,,12.7,,no emb,,,0,,,,,,LW,29,July,2024,,
76675,MVZ:Mamm:76675,Reithrodontomys fulvescens canus,Seth B. Benson,Coahuila,,0.5 mi S San Antonio del Jaral,Seth B. Benson 4715,15 Jun 1937,"skin, study; skull",male,163,92,20,,15,12,,10.5,,not recorded,,,,,,,,,LW,29,July,2024,,
76669,MVZ:Mamm:76669,Reithrodontomys fulvescens canus,Seth B. Benson,Durango,,14 mi E La Zarca,Seth B. Benson 4610,10 Jun 1937,"baculum; skin, study; skull",male,187,109,20,,15,12,,13.1,g,not recorded,,,,,,,,,LW,29,July,2024,,
76670,MVZ:Mamm:76670,Reithrodontomys fulvescens canus,Seth B. Benson,Durango,,14 mi E La Zarca,Seth B. Benson 4611,10 Jun 1937,"baculum; skin, study; skull",male,181,107,20,,16,13,,12.7,g,not recorded,,,,,,,,,LW,29,July,2024,,
76671,MVZ:Mamm:76671,Reithrodontomys fulvescens canus,William B. Richardson,Durango,,14 mi E La Zarca,William B. Richardson 2509,10 Jun 1937,"baculum; skin, study; skull",male,180,104,22,,16,14,,13.4,g,not recorded,,,,,,,,,LW,29,July,2024,,
76672,MVZ:Mamm:76672,Reithrodontomys fulvescens canus,William B. Richardson,Durango,,14 mi E La Zarca,William B. Richardson 2510,10 Jun 1937,"skin, study; skull",female,193,114,21,,16,13,,13.7,,no emb,,,0,,,,,,LW,29,July,2024,,
76673,MVZ:Mamm:76673,Reithrodontomys fulvescens canus,William B. Richardson,Durango,,14 mi E La Zarca,William B. Richardson 2511,10 Jun 1937,"skin, study; skull",female,168,98,21,,15,13,,11.3,,not recorded,,,,,,,,,LW,29,July,2024,,
80433,MVZ:Mamm:80433,Reithrodontomys fulvescens canus,Adrey E. Borell,Texas,Brewster County,"Pine Canyon, Chisos Mts.",Adrey E. Borell 5754,5 May 1937,"skin, study; skull",female,174,95,19,11,,,,not recorded,,not recorded,,,,,,,,,LW,29,July,2024,,
80434,MVZ:Mamm:80434,Reithrodontomys fulvescens canus,Adrey E. Borell,Texas,Brewster County,"Pine Canyon, Chisos Mts.",Adrey E. Borell 5792,9 May 1937,"skin, study; skull",female,167,95,19,11,,,,not recorded,,not recorded,,,,,,,,,LW,29,July,2024,,
104241,MVZ:Mamm:104241,Reithrodontomys fulvescens difficilis,Robert W. Storer,Veracruz,,4 mi SE Jalapea,Robert W. Storer 283,31 Jul 1941,"skin, study; skull",male,147,74,19,12.5,,,,not recorded,,not recorded,,,,,,,,,LW,30,July,2024,,
89562,MVZ:Mamm:89562,Reithrodontomys fulvescens fulvescens,Lee W. Arnold,Arizona,Pima County,8 mi SW Tucson,Lee W. Arnold 1636,4 Nov 1939,"skin, study; skull",female,190,105,19,15,,,,22.1,g,not recorded,,,,,,,,,LW,29,July,2024,,
89563,MVZ:Mamm:89563,Reithrodontomys fulvescens fulvescens,Lee W. Arnold,Arizona,Pima County,8 mi SW Tucson,Lee W. Arnold 1659,25 Nov 1939,"skin, study; skull",male,163,86,20,15.5,,,,13.7,g,not recorded,,,,,,,,,LW,29,July,2024,,
51586,MVZ:Mamm:51586,Reithrodontomys fulvescens fulvescens,Alden H. Miller,Arizona,Santa Cruz County,"2 mi E Pena Blanca, Tumacacori Mts.",Alden H. Miller 1215,21 Dec 1931,"skin, study; skull",female,151,81,19,10,,,,not recorded,,not recorded,,,,,,,,,LW,29,July,2024,,
82974,MVZ:Mamm:82974,Reithrodontomys fulvescens fulvescens,Seth B. Benson,Sonora,,"La Estancia, 6 mi N Nacori",Seth B. Benson 5640,20 May 1938,"skin, study; skull",male,153,81,18,,15,12,,11.1,g,not recorded,,,,,,,,,LW,29,July,2024,,
75901,MVZ:Mamm:75901,Reithrodontomys fulvescens fulvescens,Seth B. Benson,Sonora,,"La Misión, 2 mi SW Magdalena",Seth B. Benson 2959,27 Mar 1936,"skin, study; skull",male,165,94,19,,15,11,,13.2,,not recorded,,,,,,,,,LW,29,July,2024,,
78278,MVZ:Mamm:78278,Reithrodontomys fulvescens fulvescens,Margarito Delgadillo,Sonora,,Nogales,Margarito Delgadillo 13,28 Feb 1937,"skin, study; skull",female,6,3.5,,,,,in,,,no ijos (no children),,,0,,,,,"unknown measurements: 11, 9.8",LW,29,July,2024,,
82975,MVZ:Mamm:82975,Reithrodontomys fulvescens fulvescens,Seth B. Benson,Sonora,,"Rancho Banachari, 10 mi N Matape",Seth B. Benson 5653,21 May 1938,"baculum; skin, study; skull",male,179,104,19,,15,13,,13.1,g,not recorded,,,,,,,,,LW,29,July,2024,,
82976,MVZ:Mamm:82976,Reithrodontomys fulvescens fulvescens,Seth B. Benson,Sonora,,"Rancho Banachari, 10 mi N Matape",Seth B. Benson 5654,21 May 1938,"skin, study; skull",female,174,96,19,,15,12,,11.5,g,no emb,,,0,,,,,,LW,29,July,2024,,
82977,MVZ:Mamm:82977,Reithrodontomys fulvescens fulvescens,Seth B. Benson,Sonora,,"Rancho Banachari, 10 mi N Matape",Seth B. Benson 5655,21 May 1938,"skin, study; skull",female,,,,,,,,,,,,,,,,,,,,,,,,
123083,MVZ:Mamm:123083,Reithrodontomys fulvescens griseoflavus,William Z. Lidicker Jr.,Aguascalientes,,"0.33 mi NW Ciudad de Los Ninos, 7 mi WSW Aguascalientes",William Z. Lidicker Jr. 1578,13 Jul 1958,"skin, study; skull",female,163,92,19,14,,,,,,1 emb x 12 mm +2 absorb,,,1,,,12,,,LW,29,July,2024,,
91762,MVZ:Mamm:91762,Reithrodontomys fulvescens griseoflavus,"Margarito Delgadillo, Seth B. Benson",Aguascalientes,,1 mi N Chicalote,"180, 7399",17 May 1940,"skin, study; skull",male,172,102,21,,15,12,,13.3,g,not recorded,,,,,,,,,LW,29,July,2024,,
91763,MVZ:Mamm:91763,Reithrodontomys fulvescens griseoflavus,"Margarito Delgadillo, Seth B. Benson",Aguascalientes,,1 mi N Chicalote,"223, 7400",17 May 1940,"skin, study; skull",male,170,104,20,,15,12,,10.4,,not recorded,,,,,,,,,LW,29,July,2024,,
91764,MVZ:Mamm:91764,Reithrodontomys fulvescens griseoflavus,"Seth B. Benson, Margarito Delgadillo",Aguascalientes,,3 mi NE Aguascalientes,7361,15 May 1940,"skin, study; skull",male,178,104,21,,15,11,,16.9,g,not recorded,,,,,,,,,LW,29,July,2024,,
91765,MVZ:Mamm:91765,Reithrodontomys fulvescens griseoflavus,Seth B. Benson,Aguascalientes,,3 mi NE Aguascalientes,Seth B. Benson 7363,15 May 1940,"skin, study; skull",male,175,101,20,,16,11,,16.4,,not recorded,,,,,,,,,LW,29,July,2024,,
91766,MVZ:Mamm:91766,Reithrodontomys fulvescens griseoflavus,Seth B. Benson,Aguascalientes,,3 mi NE Aguascalientes,Seth B. Benson 7364,15 May 1940,"skin, study; skull",male,93+,18+,20,,16,12,,15.4,,not recorded,,,,,,,,,LW,29,July,2024,,
91767,MVZ:Mamm:91767,Reithrodontomys fulvescens griseoflavus,Seth B. Benson,Aguascalientes,,3 mi NE Aguascalientes,Seth B. Benson 7365,15 May 1940,"skin, study; skull",male,184,107,20,,15,11,,15.5,,not recorded,,,,,,,,,LW,29,July,2024,,
91768,MVZ:Mamm:91768,Reithrodontomys fulvescens griseoflavus,Seth B. Benson,Aguascalientes,,3 mi NE Aguascalientes,Seth B. Benson 7366,15 May 1940,"skin, study; skull",male,177,100,20,,16,12,,14.5,g,not recorded,,,,,,,,,LW,29,July,2024,,
91769,MVZ:Mamm:91769,Reithrodontomys fulvescens griseoflavus,Seth B. Benson,Aguascalientes,,3 mi NE Aguascalientes,Seth B. Benson 7367,15 May 1940,"skin, study; skull",female,,,,,,,,,,,,,,,,,,,,,,,,
91770,MVZ:Mamm:91770,Reithrodontomys fulvescens griseoflavus,Edwin Vance Miller,Aguascalientes,,3 mi NE Aguascalientes,Edwin Vance Miller 407,15 May 1940,"skin, study; skull",female,158,94,18,,14,10,,9.4,,no embs,,,0,,,,,,LW,29,July,2024,,
91771,MVZ:Mamm:91771,Reithrodontomys fulvescens griseoflavus,Edwin Vance Miller,Aguascalientes,,3 mi NE Aguascalientes,Edwin Vance Miller 408,15 May 1940,"skin, study; skull",female,158,90,20,,15,11,,9.4,,no embs,,,0,,,,,,LW,29,July,2024,,
91772,MVZ:Mamm:91772,Reithrodontomys fulvescens griseoflavus,Edwin Vance Miller,Aguascalientes,,3 mi NE Aguascalientes,Edwin Vance Miller 409,15 May 1940,"skin, study; skull",female,147,87,19,,14,9,,9.1,,no embs,,,0,,,,,,LW,29,July,2024,,
91773,MVZ:Mamm:91773,Reithrodontomys fulvescens griseoflavus,Edwin Vance Miller,Aguascalientes,,3 mi NE Aguascalientes,Edwin Vance Miller 410,15 May 1940,"skin, study; skull",male,184,110,20,,16,14,,15.8,,not recorded,,,,,,,,,LW,29,July,2024,,
100274,MVZ:Mamm:100274,Reithrodontomys fulvescens griseoflavus,Hubert H. Hall,Michoacan,,11 mi W Zamora,Hubert H. Hall 208,27 Mar 1943,skull,female,167,103,19,14,,,,11.3,g,not recorded,,,,,,,,,LW,29,July,2024,,
100275,MVZ:Mamm:100275,Reithrodontomys fulvescens griseoflavus,Hubert H. Hall,Michoacan,,11 mi W Zamora,Hubert H. Hall 209,27 Mar 1943,skull,male,189,101,21,16,,,,12.8,g,not recorded,,,,,,,,,LW,29,July,2024,,
123084,MVZ:Mamm:123084,Reithrodontomys fulvescens griseoflavus,William Z. Lidicker Jr.,Aguascalientes,,"Venaverros, 13 mi W Aguascalientes",William Z. Lidicker Jr. 1618,21 Jul 1958,"skin, study; skull",female,179,104,18.5,14.5,,,,,,"no emb, lact.",,,0,,,,,,LW,29,July,2024,,
100213,MVZ:Mamm:100213,Reithrodontomys fulvescens griseoflavus,W. J. Hall,Michoacan,,6 mi W Zamora,W. J. Hall 103,27 Mar 1943,skull,female,,,,,,,,,,,,,,,,,,,,,,,,
100214,MVZ:Mamm:100214,Reithrodontomys fulvescens griseoflavus,W. J. Hall,Michoacan,,6 mi W Zamora,W. J. Hall 104,27 Mar 1943,skull,female,,,,,,,,,,,,,,,,,,,,,,,,
91776,MVZ:Mamm:91776,Reithrodontomys fulvescens griseoflavus,Seth B. Benson,Jalisco,,6 mi SE Punta,Seth B. Benson 7405,18 May 1940,"skin, study; skull",female,181,109,21,,15,12,,13.3,,no emb,,,0,,,,,,LW,29,July,2024,,
91774,MVZ:Mamm:91774,Reithrodontomys fulvescens griseoflavus,Seth B. Benson,Jalisco,,9 mi N Encarnación,Seth B. Benson 7346,14 May 1940,"skin, study; skull",male,161,91,20,,15,12,,10.6,g,not recorded,,,,,,,,,LW,29,July,2024,,
100215,MVZ:Mamm:100215,Reithrodontomys fulvescens griseoflavus,E. Raymond Hall,Michoacan,,6.5 mi W Zamora,E. Raymond Hall 6012,27 Mar 1943,skull,male,,,,,,,,,,,,,,,,,,,,,,,,
100216,MVZ:Mamm:100216,Reithrodontomys fulvescens griseoflavus,E. Raymond Hall,Michoacan,,6.5 mi W Zamora,E. Raymond Hall 6013,27 Mar 1943,skull,female,,,,,,,,,,,,,,,,,,,,,,,,
91775,MVZ:Mamm:91775,Reithrodontomys fulvescens griseoflavus,Edwin Vance Miller,Jalisco,,9 mi N Encarnación,Edwin Vance Miller 401,14 May 1940,"skin, study; skull",male,148,80,19,,15,12,,11.4,,not recorded,,,,,,,,,LW,29,July,2024,,
118944,MVZ:Mamm:118944,Reithrodontomys fulvescens griseoflavus,Dean P. Furman,Michoacan,,6 mi N Zamora,Dean P. Furman M-166,24 Nov 1953,skull; whole organism (ethanol),male,,,,,,,,,,,,,,,,,,,,,,,,
100276,MVZ:Mamm:100276,Reithrodontomys fulvescens griseoflavus,W. J. Hall,Michoacan,,6 mi W Zamora,W. J. Hall 101,27 Mar 1943,"skin, study; skull",female,153,86,18,12,,,,9.5,g,not recorded,,,,,,,,,LW,29,July,2024,,
91759,MVZ:Mamm:91759,Reithrodontomys fulvescens griseoflavus,Seth B. Benson,San Luis Potosi,,"Potrero de Santa Ana, 9.6 mi S Mathuala",Seth B. Benson 7540,23 May 1940,skull,male,178+/-,108+/-,21,,16,12,,11.2,g,not recorded,,,,,,,,,LW,29,July,2024,,
100277,MVZ:Mamm:100277,Reithrodontomys fulvescens griseoflavus,W. J. Hall,Michoacan,,6 mi W Zamora,W. J. Hall 102,27 Mar 1943,"skin, study; skull",male,168,103,20,17,,,,9.1,g,not recorded,,,,,,,,,LW,29,July,2024,,
91760,MVZ:Mamm:91760,Reithrodontomys fulvescens griseoflavus,"Seth B. Benson, Margarito Delgadillo",San Luis Potosi,,"1 mi W Hacienda La Parada, 20 mi NW San Luis Potosí",7472,20 May 1940,"skin, study; skull",female,177,106,20,,16,12,,11.1,g,no emb,,,0,,,,,,LW,29,July,2024,,
91761,MVZ:Mamm:91761,Reithrodontomys fulvescens griseoflavus,Seth B. Benson,San Luis Potosi,,"1 mi W Hacienda La Parada, 20 mi NW San Luis Potosí",Seth B. Benson 7485,21 May 1940,"skin, study; skull",male,175,98,21,,17,14,,13.6,g,not recorded,,,,,,,,,LW,29,July,2024,,
91777,MVZ:Mamm:91777,Reithrodontomys fulvescens griseoflavus,Seth B. Benson,San Luis Potosi,,"1 mi W Hacienda La Parada, 20 mi NW San Luis Potosí",Seth B. Benson 7486,21 May 1940,"skin, study; skull",male,182,105,21,,16,13,,13.3,g,not recorded,,,,,,,,,LW,29,July,2024,,
118833,MVZ:Mamm:118833,Reithrodontomys fulvescens helvolus,,Oaxaca,,8 mi NNW Oaxaca de Juárez,10M-29,18 Aug 1953,"skin, study; skull",female,175,78,18,17,,,,not recorded,,not recorded,,,,,,,,,LW,30,July,2024,,
118832,MVZ:Mamm:118832,Reithrodontomys fulvescens helvolus,,Oaxaca,,Monte Alban,5M-12,13 Aug 1953,"skin, study; skull",female,170,102,20,16,,,,not recorded,,not recorded,,,,,,,,,LW,30,July,2024,,
76659,MVZ:Mamm:76659,Reithrodontomys fulvescens intermedius,Seth B. Benson,Nuevo Leon,,14 mi N Monterrey,Seth B. Benson 4746,17 Jun 1937,"skin, study; skull",female,135,75,18,,14,11,,6.4,g,no emb,,,0,,,,,,LW,30,July,2024,,
76676,MVZ:Mamm:76676,Reithrodontomys fulvescens intermedius,"Seth B. Benson, Margarito Delgadillo",Nuevo Leon,,14 mi N Monterrey,4738,17 Jun 1937,"skin, study; skull",male,,,,,,,,,,,,,,,,,,,,,,,,
76677,MVZ:Mamm:76677,Reithrodontomys fulvescens intermedius,"Seth B. Benson, Margarito Delgadillo",Nuevo Leon,,14 mi N Monterrey,4739,17 Jun 1937,"skin, study; skull",male,169,98,20,,16,12,,11.8,g,Not recorded,,,,,,,,,LW,30,July,2024,,
76678,MVZ:Mamm:76678,Reithrodontomys fulvescens intermedius,Seth B. Benson,Nuevo Leon,,14 mi N Monterrey,Seth B. Benson 4744,17 Jun 1937,"baculum; skin, study; skull",male,179,103,20,,16,13,,10.8,g,Not recorded,,,,,,,,,LW,30,July,2024,,
76679,MVZ:Mamm:76679,Reithrodontomys fulvescens intermedius,Seth B. Benson,Nuevo Leon,,14 mi N Monterrey,Seth B. Benson 4745,17 Jun 1937,"baculum; skin, study; skull",male,149,88,18,,13,10,,6.9,g,Not recorded,,,,,,,,,LW,30,July,2024,,
76680,MVZ:Mamm:76680,Reithrodontomys fulvescens intermedius,William B. Richardson,Nuevo Leon,,14 mi N Monterrey,William B. Richardson 2581,17 Jun 1937,"skin, study; skull",male,172,100,21,,15,12,,11.1,g,Not recorded,,,,,,,,,LW,30,July,2024,,
76681,MVZ:Mamm:76681,Reithrodontomys fulvescens intermedius,William B. Richardson,Nuevo Leon,,14 mi N Monterrey,William B. Richardson 2582,17 Jun 1937,"skin, study; skull",female,160,90,20,,15,11,,9.8,g,no emb,,,0,,,,,,LW,30,July,2024,,
91753,MVZ:Mamm:91753,Reithrodontomys fulvescens intermedius,"Seth B. Benson, Margarito Delgadillo",Nuevo Leon,,"Rancho Rodeo, 7.8 mi S Ciudad Santa Catarina",6764,30 Mar 1940,"skin, study; skull",male,170,100,,,16,13,,11.9,g,Not recorded,,,,,,,,"hind foot: ""19?""",LW,30,July,2024,,
91755,MVZ:Mamm:91755,Reithrodontomys fulvescens intermedius,Seth B. Benson,Tamaulipas,,5.7 mi S Heróica de Matamoros,Seth B. Benson 6885,7 Apr 1940,"skin, study; skull",male,164,93,20,,15,12,,10.8,g,not recorded,,,,,,,,,LW,30,July,2024,,
91756,MVZ:Mamm:91756,Reithrodontomys fulvescens intermedius,Edwin Vance Miller,Tamaulipas,,5.7 mi S Heróica de Matamoros,Edwin Vance Miller 170,9 Apr 1940,"skin, study; skull",female,159,89,16,,15,10,,12.3,g,not recorded,,,,,,,,,LW,30,July,2024,,
91754,MVZ:Mamm:91754,Reithrodontomys fulvescens intermedius,Edwin Vance Miller,Tamaulipas,,"Charco Escondido, 20 mi S Reynosa",Edwin Vance Miller 198,13 Apr 1940,"skin, study; skull",male,152,88,19,,14,11,,9.1,g,not recorded,,,,,,,,,LW,30,July,2024,,
