catalognumberint,guid,subspecies,collectors,state_prov,county,spec_locality,collectornumber,verbatim_date,parts,sex,total,tail,hf,ear,Notch,Crown,unit,weight,units,reproductive data,testes L,testes W,emb count,embs L,embs R,emb CR,scars,unformatted measurements,"tag checked? (or no tag available), initial here",Day,Month,Year,REVIEW NEEDED
142172,MVZ:Mamm:142172,Peromyscus boylii boylii,,California,Butte County,Clipper Mills,213,2 Sep 1972,"skin, study; skull",female,195,94,23,20,,,,Not recorded,,Not recorded,,,,,,,,,MS,1,July,2024,
74686,MVZ:Mamm:74686,Peromyscus boylii boylii,William B. Davis,California,Butte County,"Feather River, 4 mi NE Oroville",William B. Davis 1804,10 May 1936,"skin, study; skull",male,198,107,23,19,,,,Not recorded,,Not recorded,,,,,,,,,MS,1,July,2024,
74687,MVZ:Mamm:74687,Peromyscus boylii boylii,William B. Davis,California,Butte County,"Feather River, 4 mi NE Oroville",William B. Davis 1807,10 May 1936,"skin, study; skull",female,221,115,22,18,,,,Not recorded,,Not recorded,,,,,,,,,MS,1,July,2024,
74688,MVZ:Mamm:74688,Peromyscus boylii boylii,William B. Davis,California,Butte County,"Feather River, 4 mi NE Oroville",William B. Davis 1808,10 May 1936,"skin, study; skull",male,154,76,22,17,,,,Not recorded,,Not recorded,,,,,,,,,MS,1,July,2024,
53339,MVZ:Mamm:53339,Peromyscus boylii boylii,Henry S. Fitch,California,Butte County,"Feather River, 5 mi NE Oroville",Henry S. Fitch 78,3 Apr 1932,"skin, study; skull",male,200,109.9,22.6,18.7,,,,Not recorded,,Not recorded,,,,,,,,,MS,1,July,2024,
74685,MVZ:Mamm:74685,Peromyscus boylii boylii,William B. Davis,California,Butte County,"Table Mt., 6 mi N Oroville",William B. Davis 1798,9 May 1936,"skin, study; skull",male,196,103,22,18,,,,Not recorded,,Not recorded,,,,,,,,,MS,1,July,2024,
85255,MVZ:Mamm:85255,Peromyscus boylii boylii,David H. Johnson,California,Calaveras County,1.5 mi NW Sheepranch,David H. Johnson 3562,20 May 1939,"skin, study; skull",male,200,107,23,19,,,,Not recorded,,Not recorded,,,,,,,,,MS,1,July,2024,
59855,MVZ:Mamm:59855,Peromyscus boylii boylii,Robert T. Orr,California,Colusa County,3 mi W Stonyford,Robert T. Orr 1161,1 Oct 1933,"skin, study; skull",female,206,106,22,19,,,,23.8,,Not recorded,,,,,,,,,MS,1,July,2024,
59856,MVZ:Mamm:59856,Peromyscus boylii boylii,Robert T. Orr,California,Colusa County,3 mi W Stonyford,Robert T. Orr 1164,1 Oct 1933,"skin, study; skull",female,211,111,22,20,,,,25,,Not recorded,,,,,,,,,MS,1,July,2024,
59857,MVZ:Mamm:59857,Peromyscus boylii boylii,Robert T. Orr,California,Colusa County,3 mi W Stonyford,Robert T. Orr 1165,1 Oct 1933,"skin, study; skull",male,213,108,22,20,,,,26,,Not recorded,,,,,,,,,MS,1,July,2024,
59858,MVZ:Mamm:59858,Peromyscus boylii boylii,Robert T. Orr,California,Colusa County,3 mi W Stonyford,Robert T. Orr 1166,1 Oct 1933,"skin, study; skull",male,211,110,23,20.5,,,,26.6,,Not recorded,,,,,,,,,MS,1,July,2024,
59859,MVZ:Mamm:59859,Peromyscus boylii boylii,Robert T. Orr,California,Colusa County,3 mi W Stonyford,Robert T. Orr 1184,3 Oct 1933,"skin, study; skull",female,209,108,22,20,,,,28.9,,Not recorded,,,,,,,,,MS,1,July,2024,
59860,MVZ:Mamm:59860,Peromyscus boylii boylii,Robert T. Orr,California,Colusa County,3 mi W Stonyford,Robert T. Orr 1195,4 Oct 1933,"skin, study; skull",female,207,107,22,20,,,,25.5,,Not recorded,,,,,,,,,MS,1,July,2024,
59861,MVZ:Mamm:59861,Peromyscus boylii boylii,Robert T. Orr,California,Colusa County,3 mi W Stonyford,Robert T. Orr 1196,4 Oct 1933,"skin, study; skull",female,222,115,22,20,,,,28.8,,Not recorded,,,,,,,,,MS,1,July,2024,
59862,MVZ:Mamm:59862,Peromyscus boylii boylii,Robert T. Orr,California,Colusa County,3 mi W Stonyford,Robert T. Orr 1197,4 Oct 1933,"skin, study; skull",male,195,102,21,20,,,,26.6,,Not recorded,,,,,,,,,MS,1,July,2024,
59863,MVZ:Mamm:59863,Peromyscus boylii boylii,Robert T. Orr,California,Colusa County,3 mi W Stonyford,Robert T. Orr 1210,5 Oct 1933,"skin, study; skull",female,202,101,22,20,,,,23.4,,Not recorded,,,,,,,,,,,,,
141895,MVZ:Mamm:141895,Peromyscus boylii boylii,James L. Patton,California,Colusa County,Fouts Springs,James L. Patton 3039,25 Mar 1972,"skin, study; skull",male,209,113,24,19,,,,27,,Not recorded,,,,,,,,,MS,1,July,2024,
141896,MVZ:Mamm:141896,Peromyscus boylii boylii,James L. Patton,California,Colusa County,Fouts Springs,James L. Patton 3040,25 Mar 1972,"skin, study; skull",female,208,112,23,19,,,,29,,Not recorded,,,,,,,,,MS,1,July,2024,
132709,MVZ:Mamm:132709,Peromyscus boylii boylii,Donald V. Hemphill,California,Colusa County,"Freezeout Springs, 0.25 mi W Goat Mt.",Donald V. Hemphill 1686,7 Sep 1950,"skin, study; skull",female,191,96,21,,20,,,Not recorded,,No embryos,,,0,,,,,,MS,1,July,2024,
221527,MVZ:Mamm:221527,Peromyscus boylii boylii,Christopher J. Conroy,California,El Dorado County,0.5 mi N and 0.3 mi W Cool,Christopher J. Conroy 2447,10 May 2008,DNA (frozen); ear clip (frozen),unknown,,,,,,,,,,,,,,,,,,,,,,,
113439,MVZ:Mamm:113439,Peromyscus boylii boylii,Mary R. Koford,California,El Dorado County,0.75 mi E junction of North and Middle Forks of American River,Mary R. Koford 864,16 Apr 1950,"skin, study; skull",male,,,,,,,,,,,,,,,,,,,,,,,
113440,MVZ:Mamm:113440,Peromyscus boylii boylii,Mary R. Koford,California,El Dorado County,0.75 mi E junction of North and Middle Forks of American River,Mary R. Koford 865,16 Apr 1950,"skin, study; skull",male,214,118,23,20,,,,Not recorded,,Not recorded,,,,,,,,,MS,2,July,2024,
113441,MVZ:Mamm:113441,Peromyscus boylii boylii,Mary R. Koford,California,El Dorado County,0.75 mi E junction of North and Middle Forks of American River,Mary R. Koford 866,16 Apr 1950,"skin, study; skull",female,199,103,21,19,,,,Not recorded,,Not recorded,,,,,,,,,MS,2,July,2024,
113442,MVZ:Mamm:113442,Peromyscus boylii boylii,Anita K. Pearson,California,El Dorado County,0.75 mi E junction of North and Middle Forks of American River,Anita K. Pearson 637,16 Apr 1950,"skin, study; skull",female,200,111,24,19,,,,Not recorded,,Not recorded,,,,,,,,,MS,2,July,2024,
113443,MVZ:Mamm:113443,Peromyscus boylii boylii,Anita K. Pearson,California,El Dorado County,0.75 mi E junction of North and Middle Forks of American River,Anita K. Pearson 638,16 Apr 1950,"skin, study; skull",female,211,121,23,20,,,,Not recorded,,Not recorded,,,,,,,,,MS,2,July,2024,
113444,MVZ:Mamm:113444,Peromyscus boylii boylii,Anita K. Pearson,California,El Dorado County,0.75 mi E junction of North and Middle Forks of American River,Anita K. Pearson 640,16 Apr 1950,"skin, study; skull",female,204,112,23,19,,,,Not recorded,,Not recorded,,,,,,,,,MS,2,July,2024,
113445,MVZ:Mamm:113445,Peromyscus boylii boylii,Marietta Voge,California,El Dorado County,0.75 mi E junction of North and Middle Forks of American River,Marietta Voge 936,16 Apr 1950,"skin, study; skull",male,197,99,23,18,,,,Not recorded,,Not recorded,,,,,,,,,MS,2,July,2024,
113446,MVZ:Mamm:113446,Peromyscus boylii boylii,Marietta Voge,California,El Dorado County,0.75 mi E junction of North and Middle Forks of American River,Marietta Voge 937,16 Apr 1950,"skin, study; skull",female,198,100,22,18,,,,Not recorded,,No embryos,,,,,,,,,MS,2,July,2024,
221500,MVZ:Mamm:221500,Peromyscus boylii boylii,Christopher J. Conroy,California,El Dorado County,1 1/2 mi (by air) up Middle Fork of American River from confluence with North Fork,Christopher J. Conroy 2426,8 May 2008,DNA (frozen); tissue (frozen); whole organism (ethanol),unknown,,,,,,,,,,,,,,,,,,,,,,,
221501,MVZ:Mamm:221501,Peromyscus boylii boylii,Christopher J. Conroy,California,El Dorado County,1 1/2 mi (by air) up Middle Fork of American River from confluence with North Fork,Christopher J. Conroy 2435,9 May 2008,tissue (frozen); whole organism (ethanol),male,,,,,,,,,,,,,,,,,,,,,,,
221502,MVZ:Mamm:221502,Peromyscus boylii boylii,Christopher J. Conroy,California,El Dorado County,1 1/2 mi (by air) up Middle Fork of American River from confluence with North Fork,Christopher J. Conroy 2427,8 May 2008,skeleton (postcranial); skull; tissue (frozen),female,,,,,,,,,,Uterus black with numerous scars,,,,,,,,,,,,,
221503,MVZ:Mamm:221503,Peromyscus boylii boylii,Christopher J. Conroy,California,El Dorado County,1 1/2 mi (by air) up Middle Fork of American River from confluence with North Fork,Christopher J. Conroy 2436,9 May 2008,skeleton (postcranial); skull; tissue (frozen),male,,,,,,,,,,t:13x7; SV:10,,,,,,,,,,,,,
221504,MVZ:Mamm:221504,Peromyscus boylii boylii,Christopher J. Conroy,California,El Dorado County,1 1/2 mi (by air) up Middle Fork of American River from confluence with North Fork,Christopher J. Conroy 2437,9 May 2008,skeleton (postcranial); skull; tissue (frozen),female,,,,,,,,,,Uterus black with scars,,,,,,,,,,,,,
221505,MVZ:Mamm:221505,Peromyscus boylii boylii,Christopher J. Conroy,California,El Dorado County,1 1/2 mi (by air) up Middle Fork of American River from confluence with North Fork,Christopher J. Conroy 2451,10 May 2008,ear clip (frozen),male,,,,,,,,,,,,,,,,,,,,,,,
221506,MVZ:Mamm:221506,Peromyscus boylii boylii,Christopher J. Conroy,California,El Dorado County,1 1/2 mi (by air) up Middle Fork of American River from confluence with North Fork,Christopher J. Conroy 2452,10 May 2008,ear clip (frozen),female,,,,,,,,,,,,,,,,,,,,,,,
221507,MVZ:Mamm:221507,Peromyscus boylii boylii,Christopher J. Conroy,California,El Dorado County,1 1/2 mi (by air) up Middle Fork of American River from confluence with North Fork,Christopher J. Conroy 2453,10 May 2008,ear clip (frozen),male,,,,,,,,,,,,,,,,,,,,,,,
221508,MVZ:Mamm:221508,Peromyscus boylii boylii,Christopher J. Conroy,California,El Dorado County,1 1/4 mi N (by Hwy 49) Cool,Christopher J. Conroy 2434,9 May 2008,tissue (frozen); whole organism (ethanol),female,,,,,,,,,,,,,,,,,,,,,,,
221509,MVZ:Mamm:221509,Peromyscus boylii boylii,Christopher J. Conroy,California,El Dorado County,1 1/4 mi N (by Hwy 49) Cool,Christopher J. Conroy 2473,11 May 2008,tissue (frozen); whole organism (ethanol),female,,,,,,,,,,,,,,,,,,,,,,,
221510,MVZ:Mamm:221510,Peromyscus boylii boylii,Christopher J. Conroy,California,El Dorado County,1 1/4 mi N (by Hwy 49) Cool,Christopher J. Conroy 2423,8 May 2008,"skeleton (postcranial); skin, study; skull; tissue (frozen)",female,194,102,21,19,,,,23,,"embs 2L, 1R; CR: 3mm",,,3,2,1,3,,,MS,1,July,2024,
221511,MVZ:Mamm:221511,Peromyscus boylii boylii,Christopher J. Conroy,California,El Dorado County,1 1/4 mi N (by Hwy 49) Cool,Christopher J. Conroy 2432,9 May 2008,"skeleton (postcranial); skin, study; skull; tissue (frozen)",male,177,90,21,19,,,,26,,t:13x7; SV:10,13,7,,,,,,,MS,1,July,2024,
221512,MVZ:Mamm:221512,Peromyscus boylii boylii,Christopher J. Conroy,California,El Dorado County,1 1/4 mi N (by Hwy 49) Cool,Christopher J. Conroy 2433,9 May 2008,skeleton (postcranial); skull; tissue (frozen),female,,,,,,,,,,"scars 2L, 1R",,,,,,,,,,,,,
221513,MVZ:Mamm:221513,Peromyscus boylii boylii,Christopher J. Conroy,California,El Dorado County,1 1/4 mi N (by Hwy 49) Cool,Christopher J. Conroy 2458,10 May 2008,skeleton (postcranial); skull; tissue (frozen),male,,,,,,,,,,t:10x6,,,,,,,,,,,,,
221514,MVZ:Mamm:221514,Peromyscus boylii boylii,Christopher J. Conroy,California,El Dorado County,1 1/4 mi N (by Hwy 49) Cool,Christopher J. Conroy 2459,10 May 2008,skeleton (postcranial); skull; tissue (frozen),female,,,,,,,,,,"scars 7R, 4L",,,,,,,,,,,,,
221515,MVZ:Mamm:221515,Peromyscus boylii boylii,Christopher J. Conroy,California,El Dorado County,1 1/4 mi N (by Hwy 49) Cool,Christopher J. Conroy 2460,10 May 2008,skeleton (postcranial); skull; tissue (frozen),female,,,,,,,,,,"scars 0R, 2L",,,,,,,,,,,,,
221516,MVZ:Mamm:221516,Peromyscus boylii boylii,Christopher J. Conroy,California,El Dorado County,1 3/8 mi (by air) up Middle Fork of American River from confluence with North Fork,Christopher J. Conroy 2475,11 May 2008,tissue (frozen); whole organism (ethanol),male,,,,,,,,,,,,,,,,,,,,,,,
221517,MVZ:Mamm:221517,Peromyscus boylii boylii,Christopher J. Conroy,California,El Dorado County,1 3/8 mi (by air) up Middle Fork of American River from confluence with North Fork,Christopher J. Conroy 2439,9 May 2008,"skeleton (postcranial); skin, study; skull; tissue (frozen)",female,155,55,21,21,,,,29.5,,"embs 3R, 0L; CR: 7mm",,,3,0,3,7,,,MS,2,July,2024,
221518,MVZ:Mamm:221518,Peromyscus boylii boylii,Christopher J. Conroy,California,El Dorado County,1 3/8 mi (by air) up Middle Fork of American River from confluence with North Fork,Christopher J. Conroy 2440,9 May 2008,skeleton (postcranial); skull; tissue (frozen),male,,,,,,,,,,t:10x6; SV:5,,,,,,,,,,,,,
221519,MVZ:Mamm:221519,Peromyscus boylii boylii,Christopher J. Conroy,California,El Dorado County,1 3/8 mi (by air) up Middle Fork of American River from confluence with North Fork,Christopher J. Conroy 2442,9 May 2008,skeleton (postcranial); skull; tissue (frozen),female,,,,,,,,,,"scars 2L, 2R",,,,,,,,,,,,,
221520,MVZ:Mamm:221520,Peromyscus boylii boylii,Christopher J. Conroy,California,El Dorado County,1 3/8 mi (by air) up Middle Fork of American River from confluence with North Fork,Christopher J. Conroy 2467,10 May 2008,skeleton (postcranial); skull; tissue (frozen),female,,,,,,,,,,"bulbs 1R, 2L; scars 1L, 0R",,,,,,,,,,,,,
221521,MVZ:Mamm:221521,Peromyscus boylii boylii,Christopher J. Conroy,California,El Dorado County,1 3/8 mi (by air) up Middle Fork of American River from confluence with North Fork,Christopher J. Conroy 2468,10 May 2008,skeleton (postcranial); skull; tissue (frozen),female,,,,,,,,,,"scars 1R, 0L",,,,,,,,,,,,,
221522,MVZ:Mamm:221522,Peromyscus boylii boylii,Christopher J. Conroy,California,El Dorado County,1 3/8 mi (by air) up Middle Fork of American River from confluence with North Fork,Christopher J. Conroy 2469,10 May 2008,skeleton (postcranial); skull; tissue (frozen),male,,,,,,,,,,t:5x3,,,,,,,,,,,,,
221523,MVZ:Mamm:221523,Peromyscus boylii boylii,Christopher J. Conroy,California,El Dorado County,1 3/8 mi (by air) up Middle Fork of American River from confluence with North Fork,Christopher J. Conroy 2441,9 May 2008,tail (frozen),unknown,,,,,,,,,,,,,,,,,,,,,,,
221524,MVZ:Mamm:221524,Peromyscus boylii boylii,Christopher J. Conroy,California,El Dorado County,1 3/8 mi (by air) up Middle Fork of American River from confluence with North Fork,Christopher J. Conroy 2454,10 May 2008,ear clip (frozen),male,,,,,,,,,,,,,,,,,,,,,,,
221525,MVZ:Mamm:221525,Peromyscus boylii boylii,Christopher J. Conroy,California,El Dorado County,1 3/8 mi (by air) up Middle Fork of American River from confluence with North Fork,Christopher J. Conroy 2455,10 May 2008,ear clip (frozen),female,,,,,,,,,,,,,,,,,,,,,,,
221526,MVZ:Mamm:221526,Peromyscus boylii boylii,Christopher J. Conroy,California,El Dorado County,1 3/8 mi (by air) up Middle Fork of American River from confluence with North Fork,Christopher J. Conroy 2456,10 May 2008,ear clip (frozen),male,,,,,,,,,,,,,,,,,,,,,,,
24667,MVZ:Mamm:24667,Peromyscus boylii boylii,Tracy I. Storer,California,El Dorado County,1 mi NW Fyffe,Tracy I. Storer 1630,23 Nov 1916,"skin, study; skull",male,,112,23,20,,,,23.4,,Not recorded,,,,,,,,,MS,1,July,2024,
24668,MVZ:Mamm:24668,Peromyscus boylii boylii,Tracy I. Storer,California,El Dorado County,1 mi NW Fyffe,Tracy I. Storer 1687,28 Nov 1916,"skin, study; skull",male,183,89,22.5,19,,,,Not recorded,,Not recorded,,,,,,,,,MS,1,July,2024,
24669,MVZ:Mamm:24669,Peromyscus boylii boylii,Tracy I. Storer,California,El Dorado County,1 mi NW Fyffe,Tracy I. Storer 1689,28 Nov 1916,"skin, study; skull",female,199,96,23,17,,,,Not recorded,,Not recorded,,,,,,,,,MS,1,July,2024,
24670,MVZ:Mamm:24670,Peromyscus boylii boylii,Tracy I. Storer,California,El Dorado County,1 mi NW Fyffe,Tracy I. Storer 1692,30 Nov 1916,"skin, study; skull",male,210,113,23,20,,,,Not recorded,,Not recorded,,,,,,,,,MS,1,July,2024,
24671,MVZ:Mamm:24671,Peromyscus boylii boylii,Tracy I. Storer,California,El Dorado County,1 mi NW Fyffe,Tracy I. Storer 1693,30 Nov 1916,"skin, study; skull",male,192,101,23,19,,,,Not recorded,,Not recorded,,,,,,,,,MS,1,July,2024,
24672,MVZ:Mamm:24672,Peromyscus boylii boylii,Tracy I. Storer,California,El Dorado County,1 mi NW Fyffe,Tracy I. Storer 1694,30 Nov 1916,"skin, study; skull",male,186,88,23,20,,,,Not recorded,,Not recorded,,,,,,,,,MS,1,July,2024,
24673,MVZ:Mamm:24673,Peromyscus boylii boylii,Tracy I. Storer,California,El Dorado County,1 mi NW Fyffe,Tracy I. Storer 1695,30 Nov 1916,"skin, study; skull",male,183,94,23.5,21,,,,Not recorded,,Not recorded,,,,,,,,,MS,1,July,2024,
24674,MVZ:Mamm:24674,Peromyscus boylii boylii,Tracy I. Storer,California,El Dorado County,1 mi NW Fyffe,Tracy I. Storer 1696,30 Nov 1916,"skin, study; skull",female,189,100,23.5,21,,,,Not recorded,,Not recorded,,,,,,,,,MS,1,July,2024,
24675,MVZ:Mamm:24675,Peromyscus boylii boylii,Tracy I. Storer,California,El Dorado County,1 mi NW Fyffe,Tracy I. Storer 1697,30 Nov 1916,"skin, study; skull",male,187,100,24,20,,,,Not recorded,,Not recorded,,,,,,,,,MS,1,July,2024,
24676,MVZ:Mamm:24676,Peromyscus boylii boylii,Tracy I. Storer,California,El Dorado County,1 mi NW Fyffe,Tracy I. Storer 1701,1 Dec 1916,"skin, study; skull",female,189,100,23,20,,,,Not recorded,,Not recorded,,,,,,,,,MS,1,July,2024,
24242,MVZ:Mamm:24242,Peromyscus boylii boylii,Joseph Scattergood Dixon,California,El Dorado County,1 mi W Fyffe,Joseph Scattergood Dixon 5074,28 Jul 1916,"skin, study; skull",female,180,90,23,17,,,,21.5,,Not recorded,,,,,,,,,MS,1,July,2024,
24243,MVZ:Mamm:24243,Peromyscus boylii boylii,Joseph Scattergood Dixon,California,El Dorado County,1 mi W Fyffe,Joseph Scattergood Dixon 5080,28 Jul 1916,"skin, study; skull",female,185,95,22,16,,,,20,,Not recorded,,,,,,,,,MS,1,July,2024,
24244,MVZ:Mamm:24244,Peromyscus boylii boylii,Joseph Scattergood Dixon,California,El Dorado County,1 mi W Fyffe,Joseph Scattergood Dixon 5081,29 Jul 1916,"skin, study; skull",female,210,110,22,15,,,,24.2,,Not recorded,,,,,,,,,MS,1,July,2024,
24245,MVZ:Mamm:24245,Peromyscus boylii boylii,Joseph Scattergood Dixon,California,El Dorado County,1 mi W Fyffe,Joseph Scattergood Dixon 5082,29 Jul 1916,"skin, study; skull",male,182,90,22,16,,,,17.8,,Not recorded,,,,,,,,,MS,1,July,2024,
84305,MVZ:Mamm:84305,Peromyscus boylii boylii,Thomas Paul Maslin,California,El Dorado County,7 mi W and 3 mi S Placerville,Thomas Paul Maslin 1480,14 Nov 1938,"baculum; skin, study; skull",male,204,112,23,19,,,,28.7,,Not recorded,,,,,,,,,MS,2,July,2024,
84306,MVZ:Mamm:84306,Peromyscus boylii boylii,Thomas Paul Maslin,California,El Dorado County,7 mi W and 3 mi S Placerville,Thomas Paul Maslin 1481,14 Nov 1938,"baculum; skin, study; skull",male,201,105,22,18,,,,25.5,,Not recorded,,,,,,,,,MS,2,July,2024,
24246,MVZ:Mamm:24246,Peromyscus boylii boylii,Joseph Scattergood Dixon,California,El Dorado County,"Limekiln, Middle Fork of American River",Joseph Scattergood Dixon 5114,3 Aug 1916,"skin, study; skull",male,184,90,22,19,,,,18.8,,Not recorded,,,,,,,,,MS,1,July,2024,
24247,MVZ:Mamm:24247,Peromyscus boylii boylii,Joseph Scattergood Dixon,California,El Dorado County,"Limekiln, Middle Fork of American River",Joseph Scattergood Dixon 5129,4 Aug 1916,"skin, study; skull",female,188,98,23,16,,,,10.6,,Not recorded,,,,,,,,,MS,1,July,2024,
24248,MVZ:Mamm:24248,Peromyscus boylii boylii,Joseph Scattergood Dixon,California,El Dorado County,"Limekiln, Middle Fork of American River",Joseph Scattergood Dixon 5130,4 Aug 1916,"skin, study; skull",female,184,97,22,15,,,,23.5,,Not recorded,,,,,,,,,MS,1,July,2024,
24251,MVZ:Mamm:24251,Peromyscus boylii boylii,Joseph Scattergood Dixon,California,El Dorado County,"Limekiln, Middle Fork of American River",Joseph Scattergood Dixon 5113,3 Aug 1916,"skin, study; skull",female,195,95,23,22,,,,28,,Not recorded,,,,,,,,,MS,1,July,2024,
24249,MVZ:Mamm:24249,Peromyscus boylii boylii,Joseph Scattergood Dixon,California,El Dorado County,"mouth, Middle Fork of American River",Joseph Scattergood Dixon 5137,5 Aug 1916,"skin, study; skull",female,210,107,23,16,,,,25.3,,Not recorded,,,,,,,,,MS,8,July,2024,
24250,MVZ:Mamm:24250,Peromyscus boylii boylii,Joseph Scattergood Dixon,California,El Dorado County,"mouth, Middle Fork of American River",Joseph Scattergood Dixon 5145,6 Aug 1916,"skin, study; skull",male,200,98,22,17,,,,27.6,,Not recorded,,,,,,,,,MS,1,July,2024,
24253,MVZ:Mamm:24253,Peromyscus boylii boylii,Joseph Scattergood Dixon,California,El Dorado County,"mouth, Middle Fork of American River",Joseph Scattergood Dixon 5144,6 Aug 1916,"skin, study; skull",female,210,107,22,16,,,,29.8,,Not recorded,,,,,,,,,MS,1,July,2024,
24322,MVZ:Mamm:24322,Peromyscus boylii boylii,Joseph Scattergood Dixon,California,El Dorado County,"mouth, Middle Fork of American River",Joseph Scattergood Dixon 5147,6 Aug 1916,whole organism (ethanol),female,,,,,,,,,,,,,,,,,,,,,,,
93661,MVZ:Mamm:93661,Peromyscus boylii boylii,,California,Fresno County,"0.375 mi ENE Charles Green Ranch Houses, 2 mi N Friant",235,29 May 1940,"skin, study; skull",male,,,,,,,,,,,,,,,,,,,,,,,
93662,MVZ:Mamm:93662,Peromyscus boylii boylii,,California,Fresno County,"0.375 mi ENE Charles Green Ranch Houses, 2 mi N Friant",236,29 May 1940,"skin, study; skull",female,,,,,,,,,,,,,,,,,,,,,,,
93649,MVZ:Mamm:93649,Peromyscus boylii boylii,,California,Fresno County,"0.375 mi N Charles Green Ranch Houses, 2 mi N Friant",262,4 Jun 1940,"skin, study; skull",female,,,,,,,,,,,,,,,,,,,,,,,
93650,MVZ:Mamm:93650,Peromyscus boylii boylii,,California,Fresno County,"0.375 mi N Charles Green Ranch Houses, 2 mi N Friant",263,5 Jun 1940,"skin, study; skull",female,,,,,,,,,,,,,,,,,,,,,,,
